Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00    60003     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.04     0.00    60003     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.04     0.00    60003     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.04     0.00    60003     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.04     0.00    60003     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.04     0.00    60003     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.04     0.00    60003     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.04     0.00    60003     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.04     0.00    60003     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.04     0.00    60003     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.04     0.00    60002     0.00     0.00  void std::_Construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.04     0.00    60002     0.00     0.00  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.04     0.00    60000     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.04     0.00    60000     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.04     0.00    60000     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.04     0.00    60000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
